"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Total","Thousand persons","Total","19,316",""
"2006","European Union (28 countries)","Total","Percentage of total population","Total","5.1",""
"2006","European Union (28 countries)","Total","Percentage of active population","Total","8.2",""
"2006","European Union (28 countries)","Less than 25 years","Thousand persons","Total","4,771",""
"2006","European Union (28 countries)","Less than 25 years","Percentage of total population","Total","7.7",""
"2006","European Union (28 countries)","Less than 25 years","Percentage of active population","Total","17.7",""
"2006","European Union (27 countries)","Total","Thousand persons","Total","19,101",""
"2006","European Union (27 countries)","Total","Percentage of total population","Total","5.1",""
"2006","European Union (27 countries)","Total","Percentage of active population","Total","8.2",""
"2006","European Union (27 countries)","Less than 25 years","Thousand persons","Total","4,715",""
"2006","European Union (27 countries)","Less than 25 years","Percentage of total population","Total","7.7",""
"2006","European Union (27 countries)","Less than 25 years","Percentage of active population","Total","17.6",""
"2006","European Union (25 countries)","Total","Thousand persons","Total","18,074",""
"2006","European Union (25 countries)","Total","Percentage of total population","Total","5.1",""
"2006","European Union (25 countries)","Total","Percentage of active population","Total","8.3",""
"2006","European Union (25 countries)","Less than 25 years","Thousand persons","Total","4,443",""
"2006","European Union (25 countries)","Less than 25 years","Percentage of total population","Total","7.8",""
"2006","European Union (25 countries)","Less than 25 years","Percentage of active population","Total","17.5",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","12,336",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total","5.1",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","8.4",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Thousand persons","Total","2,752",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of total population","Total","7.4",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of active population","Total","17.1",""
"2006","Euro area (19 countries)","Total","Thousand persons","Total","12,985",""
"2006","Euro area (19 countries)","Total","Percentage of total population","Total","5.2",""
"2006","Euro area (19 countries)","Total","Percentage of active population","Total","8.4",""
"2006","Euro area (19 countries)","Less than 25 years","Thousand persons","Total","2,896",""
"2006","Euro area (19 countries)","Less than 25 years","Percentage of total population","Total","7.3",""
"2006","Euro area (19 countries)","Less than 25 years","Percentage of active population","Total","17.2",""
"2006","Euro area (18 countries)","Total","Thousand persons","Total","12,897",""
"2006","Euro area (18 countries)","Total","Percentage of total population","Total","5.2",""
"2006","Euro area (18 countries)","Total","Percentage of active population","Total","8.4",""
"2006","Euro area (18 countries)","Less than 25 years","Thousand persons","Total","2,884",""
"2006","Euro area (18 countries)","Less than 25 years","Percentage of total population","Total","7.4",""
"2006","Euro area (18 countries)","Less than 25 years","Percentage of active population","Total","17.2",""
"2006","Belgium","Total","Thousand persons","Total","383",""
"2006","Belgium","Total","Percentage of total population","Total","4.9",""
"2006","Belgium","Total","Percentage of active population","Total","8.3",""
"2006","Belgium","Less than 25 years","Thousand persons","Total","91",""
"2006","Belgium","Less than 25 years","Percentage of total population","Total","7.1",""
"2006","Belgium","Less than 25 years","Percentage of active population","Total","20.5",""
"2006","Bulgaria","Total","Thousand persons","Total","309",""
"2006","Bulgaria","Total","Percentage of total population","Total","5.1",""
"2006","Bulgaria","Total","Percentage of active population","Total","9.0",""
"2006","Bulgaria","Less than 25 years","Thousand persons","Total","57",""
"2006","Bulgaria","Less than 25 years","Percentage of total population","Total","5.4",""
"2006","Bulgaria","Less than 25 years","Percentage of active population","Total","18.3",""
"2006","Czech Republic","Total","Thousand persons","Total","371",""
"2006","Czech Republic","Total","Percentage of total population","Total","4.6",""
"2006","Czech Republic","Total","Percentage of active population","Total","7.1",""
"2006","Czech Republic","Less than 25 years","Thousand persons","Total","79",""
"2006","Czech Republic","Less than 25 years","Percentage of total population","Total","5.9",""
"2006","Czech Republic","Less than 25 years","Percentage of active population","Total","17.5",""
"2006","Denmark","Total","Thousand persons","Total","114","i"
"2006","Denmark","Total","Percentage of total population","Total","2.8","i"
"2006","Denmark","Total","Percentage of active population","Total","3.9","i"
"2006","Denmark","Less than 25 years","Thousand persons","Total","33","i"
"2006","Denmark","Less than 25 years","Percentage of total population","Total","5.4","i"
"2006","Denmark","Less than 25 years","Percentage of active population","Total","7.7","i"
"2006","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","4,104",""
